index,kind,sha256,file_sha256,unix,path,cycle,optimizer_steps,total_optimizer_steps,status,checkpoint_commit
451,SLEEP_COMPLETE,524bd8e6becda74950c784f5f0cd00f77438224febeffd420076118cb1128186,b462a6c1157d5bc7d980d47998f415df1f955500d5aaa57f7a9d949ec5b2d241,1789711129.299432,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000451.json,58,48,5116,COMPLETE,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/checkpoints/sleep_000058/COMMIT.json
533,SLEEP_COMPLETE,2f23c9c0d82f481dfb5e7d927007e18f6f0c90df53020fd4b4b95d91fe29a5d9,5452627972f4ee944c9cbcbcda82fd88cacf00f67356a1f976295786dfab317f,1789711766.681316,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000533.json,59,48,5164,COMPLETE,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/checkpoints/sleep_000059/COMMIT.json
612,SLEEP_COMPLETE,b71a5114a686af20f6250aa6d1baa6eda3aef6ffff0683ac268c72348d8b1a83,7b3be2ada08692ce5ff0e4c571bb2281d3ed54ede86d8f76d5837d258b2deb81,1789712204.758398,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000612.json,60,48,5212,COMPLETE,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/checkpoints/sleep_000060/COMMIT.json
690,SLEEP_COMPLETE,44fddd193f353905d6d52453c2cdf7cf011b07a830731635a16dcd73c83d3cfd,bad19c2f8e7ec637d12d27ad8a8fc97a1ad5b643d5e0a5da2849688c4a22870a,1789712780.1696239,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000690.json,61,48,5260,COMPLETE,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/checkpoints/sleep_000061/COMMIT.json
752,SLEEP_COMPLETE,ce41fcc66e4c8d5dd0bfc84fde14440a37a12fe6297e7115f2a2c4ce40e3f93a,5ed2d8325fbbd88541c5e16904042ba6f77fe116152be14ea38dbb3031e9fc6d,1789713339.8192687,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000752.json,62,32,5292,COMPLETE,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/checkpoints/sleep_000062/COMMIT.json
800,SLEEP_COMPLETE,fff7a5e01420c27f366431205f730c7843dccac68e24de8a96390271111025d5,0e6a2c68a342a3f6ac78c68e7d95fd0f6ad21dc0af0b549fd161e3736eb681c9,1789713673.2917,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000800.json,63,16,5308,COMPLETE,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/checkpoints/sleep_000063/COMMIT.json
862,SLEEP_COMPLETE,44331126762618c150ce826c975b528fd99e221790c919b2d2b0fd5dc6bd690c,17ec62b97f894d04044b46e3678ec45de73de5cb3b4d682e48565202892bb2c0,1789714210.8983881,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000862.json,64,32,5340,COMPLETE,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/checkpoints/sleep_000064/COMMIT.json
