opportunity,utc,origin_record,origin_sha256,feedback_record,feedback_sha256,feedback_path,service_result_path,service_result_sha256,service_session,top_k,scene_id,outcome_status,error,format_fault,recovered_candidate_lines,ranks,committed_generation_tokens_to_ACT,latest_complete_cycle_at_feedback,optimizer_total_at_feedback,feedback_items,scored_captions,accepted,new_pixels,repeats,replayed,unknown_feedback,cumulative_opportunities,cumulative_scored_captions,cumulative_accepted,cumulative_new_pixels,cumulative_repeats,cumulative_replayed,cumulative_unknown_feedback,cumulative_feedback_items,cumulative_unscored_opportunities
1,2026-09-18T05:51:41.816518+00:00,383,47becec743b23c9a75d9e1261222d0aa3b9e4da1b534ebac10b8fb534dcdd1da,386,d4c25b64e4cbc83259a617848d8c480d852c5af1117bf1152084426e46c783b6,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000386.json,/localhome/local-rohing/orch_r213_caption_service_20260918/session1/attempts/47becec743b23c9a75d9e1261222d0aa3b9e4da1b534ebac10b8fb534dcdd1da/RESULT.json,6e9a42584afc8a459ec315b9b5df99a41006546d1729e4df66bc912b5413bdf8,/localhome/local-rohing/orch_r213_caption_service_20260918/session1,50,agentdev_8a9a02d73aeefd97306a,PUBLISHED,,True,2,"[62, 50]",392,57,5068,2,2,1,1,0,0,0,1,2,1,1,0,0,0,2,0
2,2026-09-18T06:01:33.950384+00:00,462,a0482583878069ccb1c3c124891709cb504eaf5369f5955fbc11d2ede7eb6da0,465,03208296e279084245e2751293e28994c864e26dfc661937cc82ed86c81ecac6,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000465.json,/localhome/local-rohing/orch_r213_caption_service_20260918/session1/attempts/a0482583878069ccb1c3c124891709cb504eaf5369f5955fbc11d2ede7eb6da0/RESULT.json,e13394b22d51dfcc7a1fb7f90d2b0343fa0e72db3c162bf7f878baea313a0c25,/localhome/local-rohing/orch_r213_caption_service_20260918/session1,50,agentdev_8a9a02d73aeefd97306a,PUBLISHED,,True,3,"[62, 49, 44]",827,58,5116,3,3,2,2,0,0,0,2,5,3,3,0,0,0,5,0
3,2026-09-18T06:12:04.174437+00:00,545,34874efbd5a6626deb4e13a4bb03893f9adb947d0f3edab9b37042c4f82d37c9,548,b8252a197c65fc479546243a18fb73b0f9347983c2fef8cf00bd2f0ef8887acf,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000548.json,/localhome/local-rohing/orch_r213_caption_service_20260918/session1/attempts/34874efbd5a6626deb4e13a4bb03893f9adb947d0f3edab9b37042c4f82d37c9/RESULT.json,259dae589d15126205c081dda7dfa06f3492dd673a4d6f0ebbfb653219546041,/localhome/local-rohing/orch_r213_caption_service_20260918/session1,50,agentdev_8a9a02d73aeefd97306a,PUBLISHED,,True,3,"[63, 49, 62]",1215,59,5164,3,3,1,1,0,0,0,3,8,4,4,0,0,0,8,0
4,2026-09-18T06:19:27.414250+00:00,623,ff28c36739b151e15500da25789e070e6aadb3d20657a1f544f59480a39b9ed1,626,aa066f3e5145ea60c3174e1fa48f60de4655d76e9c824058773739077befec33,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000626.json,/localhome/local-rohing/orch_r213_caption_service_20260918/session1/attempts/ff28c36739b151e15500da25789e070e6aadb3d20657a1f544f59480a39b9ed1/RESULT.json,6ab5c3bfa74f072a9900ec45ba4644cd50ee7673d447bd547b07df22f4be85ae,/localhome/local-rohing/orch_r213_caption_service_20260918/session1,50,agentdev_8a9a02d73aeefd97306a,PUBLISHED,,True,3,"[40, 55, 54]",1632,60,5212,3,3,1,1,0,0,0,4,11,5,5,0,0,0,11,0
5,2026-09-18T06:29:04.528114+00:00,701,69673491124843c57a560a8ea3c38333a4ce2cf890b0a0f2df8b7b82fe9b786e,704,9ac9aeb9e5428ba237b9c70995109e692757f8629e53a25d3c323e2c0c5fb852,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000704.json,/localhome/local-rohing/orch_r213_caption_service_20260918/session1/attempts/69673491124843c57a560a8ea3c38333a4ce2cf890b0a0f2df8b7b82fe9b786e/RESULT.json,4574d6b1852f5bf12775975f2f98e2a3f4d8df23e50c19d91579001dc144b136,/localhome/local-rohing/orch_r213_caption_service_20260918/session1,50,,PUBLISHED,scene_not_unambiguously_identified,True,3,[],2032,61,5260,0,0,0,0,0,0,0,5,11,5,5,0,0,0,11,1
6,2026-09-18T06:38:23.863632+00:00,765,5382094098413cd04043a295faadc0806d957a9d3c75c4dc95a9737c28044239,768,28e0e416119a24ad6e58c4ceb553563ec95a2f931cd8af4b755b2208eaa4cd13,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000768.json,/localhome/local-rohing/orch_r213_caption_service_20260918/session1/attempts/5382094098413cd04043a295faadc0806d957a9d3c75c4dc95a9737c28044239/RESULT.json,2889f5fb0f61a1b6f516ce344de5ea2af23f100f896270459614686c3807a09a,/localhome/local-rohing/orch_r213_caption_service_20260918/session1,50,,PUBLISHED,scene_not_unambiguously_identified,True,3,[],2464,62,5292,0,0,0,0,0,0,0,6,11,5,5,0,0,0,11,2
7,2026-09-18T06:44:03.157043+00:00,811,c16d7ba5113b578c0e74d62c870ac6ec29f24d9e22a2eb5dc011237d8d992ca7,814,fbada017baff2f5cee01c507b4ed003c475926baff8b0373a97a9ba58eb29b93,/localhome/local-rohing/orch_r201_node4_20260918/node4/R195_FLEET/SCALE_physical3/life/stream/records/00000000000000000814.json,/localhome/local-rohing/orch_r213_caption_service_20260918/session1/attempts/c16d7ba5113b578c0e74d62c870ac6ec29f24d9e22a2eb5dc011237d8d992ca7/RESULT.json,e85d7de3c7b0685a4523eeeaa31bb51bb30e4384dcbe6cae518a9a5d913a147c,/localhome/local-rohing/orch_r213_caption_service_20260918/session1,50,agentdev_8a9a02d73aeefd97306a,PUBLISHED,,True,3,"[61, 56, 65]",2935,63,5308,3,3,0,0,0,0,0,7,14,5,5,0,0,0,14,2
