state,old_n,old_fact_gain,old_frame_gain,new_n,new_frame_gain,new_bicycle_gain,new_paired_gain,new_bicycle_abstain,new_bicycle_mass
A1_before,16,0.2920558997359343,0.425674163221099,32,0.0057788567430122695,0.008962760604027198,-0.0031839038610149296,9.849480297200415e-06,0.9965565787061389
AN,16,-0.004837211255880221,-0.020875075139166366,32,0.6732757958466413,0.7138454567194539,-0.04056966087281256,3.4515232417038036e-07,0.9992159275661711
A2,16,0.34150759288279564,0.20991008348519322,32,0.3592229439838097,0.6206096215436004,-0.2613866775597907,2.5757536842502635e-07,0.9979792862848821
